References	Qty	Description	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
R1	1	4.7K 1206	Yageo	RC1206FR-074K7L	311-4.70KFRCT-ND	603RC1206FR074K7L			
R2	1	4.7K 1206	Yageo	RC1206FR-074K7L	311-4.70KFRCT-ND	603RC1206FR074K7L			
R3	1	22K 1206	Yageo	RC1206FR-0722KL	311-22.0KFRCT-ND	603RC1206FR0722KL			
R4	1	22K 1206	Yageo	RC1206FR-0722KL	311-22.0KFRCT-ND	603RC1206FR0722KL			
R5	1	22K 1206	Yageo	RC1206FR-0722KL	311-22.0KFRCT-ND	603RC1206FR0722KL			
R6	2	22K 1206	Yageo	RC1206FR-0722KL	311-22.0KFRCT-ND	603RC1206FR0722KL			
R7	1	330 1206	Yageo	RC1206FR-07330RL	311-330FRCT-ND	603RC1206FR07330RL			
R8	1	330 1206	Yageo	RC1206FR-07330RL	311-330FRCT-ND	603RC1206FR07330RL			
R9	1	1K 1206	Yageo	RC1206FR-071KL	311-1.00KFRCT-ND	603RC1206FR071KL			
R10	1	1K 1206	Yageo	RC1206FR-071KL	311-1.00KFRCT-ND	603RC1206FR071KL			
R11	1	22K 1206	Yageo	RC1206FR-0722KL	311-22.0KFRCT-ND	603RC1206FR0722KL			
R12	1	22K 1206	Yageo	RC1206FR-0722KL	311-22.0KFRCT-ND	603RC1206FR0722KL			
C1	1	100nF 1206	KEMET	C1206C104K5RACTU	399-1249-2-ND	80C1206C104K5R			
C2	1	100nF 1206	KEMET	C1206C104K5RACTU	399-1249-2-ND	80C1206C104K5R			
C3	1	100nF 1206	KEMET	C1206C104K5RACTU	399-1249-2-ND	80C1206C104K5R			
C4	1	10µF 1206	KEMET	C1206C106K3PACTU		80C1206C106K3P			
ICS1	1	8Pin-DIL-Socket	Amphenol FCI	DILB8P-223TLF	609-4717-ND	649DILB8P223TLF			
IC1	1	Attiny85 DIL-Package	Microchip Technology / Atmel	ATtiny85-20PU		556ATTINY8520PU			
LED Power (red)	1	TOP-led (3528 package)	Kingbright	AA3528SURSK	754-1537-1-ND	604AA3528SURSK			
LED Signal (blue)	1	TOP-led (3528 package)	Kingbright	AA3528QBS/D		604AA3528QBS/D			
Pot	2	10k lin Potentiometer, 16mm (6mm shaft dia, 15mm shaft length)	BI Technologies / TT Electronics	P160KN-0QC15B10K		858P160KN0QC15B10K			
(ali) NEO	1	NEO pixel 10-pack (SK6812)	Adafruit	1655		4851655			
(ali) Jack	2	Mini-Jack female 3.5mm	CUI	SJ1-3525NG		490SJ13525NG			
(ali) push button	2	Tactile Switches	TE Connectivity / Alcoswitch	1571621-1		50615716211			
(ali) Pin-header	2	4 pos Pin Header Socket (Female)	3M Electronic Solutions Division	929870-01-04-RA		5179298700104RA			
(opt) C5	1	100nF 1206	KEMET	C1206C104K5RACTU	399-1249-2-ND	80C1206C104K5R			
(opt) C6	1	100nF 1206	KEMET	C1206C104K5RACTU	399-1249-2-ND	80C1206C104K5R			
(opt) C7	1	10µF 1206	KEMET	C1206C106K3PACTU		80C1206C106K3P			
(opt) R13	1	330 1206	Yageo	RC1206FR-07330RL	311-330FRCT-ND	603RC1206FR07330RL			
(opt) R14	1	22K 1206	Yageo	RC1206FR-0722KL	311-22.0KFRCT-ND	603RC1206FR0722KL			
(ali opt) Pin-header	1	6 pos Pin Header Socket (Female)	3M Electronic Solutions Division	929870-01-06-RA		5179298700106RA			
(opt) USB	1	Micro-USB plug (female)							
(opt) AMP	1	PAM8301 Audio Amplifiers 1.5W MONO	Diodes Incorporated	PAM8301AAF		621PAM8301AAF			
(opt) NPN MOSFET	1	MOSFET N-CHANNEL 60V 115mA	ON Semiconductor / Fairchild	2N7002		5122N7002			
(opt) Knob	2	not yet found							
(opt) Pot-Wheel	1	not yet found							
