References	Qty	Description	Digikey	Mouser	RS	Newark	Farnell
U1	1	MCP73831		579MCP73831T2ATIOT			1840935
U5	1	ATMEGA32U4		556ATMEGA32U4MU			2425127
U6	1	MIC5219-3.3		998MIC52193.3YM5TR			2510252RL
Q1	1	BSS123		512BSS123			9845321
Y2	1	8MHz		7177B8.000MAAJT			2308726
C1, C13	2	10uF		81GRM31CR71A106KA01			
C2,C3,C6,C8,C11,C12	6	1uF		81GRM188R61E105KA12			
C4, C14	2	0.1uF		81GRM39X104K50D			
C5, C7	2	22pF		81GRM39C220J50			
C9	1	4.7uF		81GRM18R60J475KE19D			
LED1	1	Yellow		859LTSTC190KSKT			
LED2	1	Red		859LTSTC190KGKT			
LED3	1	Red		859LTSTC190KGKT			
LED4	1	Blue		859LTSTC190TBKT			
LED5	1	Yellow		859LTSTC190KSKT			
R1, R2	2	33		667ERJ3GEYJ330V			
R3, R4, R7, R10, R13, R16	6	330		667ERJ3GEYJ331V			
R5	1	2K		667ERJ3GEYJ222V			
R6, R14, R15	3	10K		667ERJ3GEYJ103V			
R9	1	470		667ERJ3GEYJ470V			
R11, R12	2	22		667ERJ3GEYJ220V			
POT_LEFT	1			652PTV09A4015UB103			
POT_RIGHT	1			652PTV09A4015UB103			
S1	1	Left		6931301.9317			1217767
S3	1	Right		6931301.9317			1217767
SW	1	SWITCH_SMD, SS SMD402, reichelt.de					
SD	1	MICROSD		710693071010811			2081363
SPEAKER	1	PS603SPK		665AS01508MRR			
X1	1	USB_B_SMD		649101181920001LF			2506104
X2	1	PJ-327A, ebay					
Accu	1	AKKU IPD SH 1G, reichelt.de					
