References	Qty	Description	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
R1	1	22K 1206	Yageo	RC1206FR-0722KL	311-22.0KFRCT-ND	603RC1206FR0722KL			
R2	1	22K 1206	Yageo	RC1206FR-0722KL	311-22.0KFRCT-ND	603RC1206FR0722KL			
R6	1	1k 1206							
R7	1	330 1206							
C1	1	100nF 1206	KEMET	C1206C104K5RACTU	399-1249-2-ND	80C1206C104K5R			
C2	1	100nF 1206	KEMET	C1206C104K5RACTU	399-1249-2-ND	80C1206C104K5R			
C3	1	100nF 1206	KEMET	C1206C104K5RACTU	399-1249-2-ND	80C1206C104K5R			
U1	1	8Pin-DIL-Socket	Amphenol FCI	DILB8P-223TLF	609-4717-ND	649DILB8P223TLF			
IC1	1	Attiny85 DIL-Package	Microchip Technology / Atmel	ATtiny85-20PU		556ATTINY8520PU			
NEO1	1	SK6813b NEO-Pixel							
NEO2	1	SK6813b NEO-Pixel							
R3	1	22K 1206	Yageo	RC1206FR-0722KL	311-22.0KFRCT-ND	603RC1206FR0722KL			
R4	1	22K 1206	Yageo	RC1206FR-0722KL	311-22.0KFRCT-ND	603RC1206FR0722KL			
R5	1	4K7 1206							
SW1	1	Push Switch							
Push1	1	Tactile Button							
Jack1	1	AUDIO-JACK							
Jack2	1	AUDIO-JACK							
Pot1	1	Potentiomenter 10k							
Trim1	1	TrimPot 10k							
D1	1	LED 2835							
