References	Qty	Description	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
R1	1	22K 1206	Yageo	RC1206FR-0722KL	311-22.0KFRCT-ND	603RC1206FR0722KL			
R2	1	22K 1206	Yageo	RC1206FR-0722KL	311-22.0KFRCT-ND	603RC1206FR0722KL			
R3	1	22K 1206	Yageo	RC1206FR-0722KL	311-22.0KFRCT-ND	603RC1206FR0722KL			
R4	1	330 1206	Yageo	RC1206FR-07330RL	311-330FRCT-ND	603RC1206FR07330RL			
R5	1	68K 1206							
R6	2	68K 1206							
R7	1	1K5 1206							
C1	1	100nF 1206	KEMET	C1206C104K5RACTU	399-1249-2-ND	80C1206C104K5R			
C2	1	100nF 1206	KEMET	C1206C104K5RACTU	399-1249-2-ND	80C1206C104K5R			
U1	1	8Pin-DIL-Socket	Amphenol FCI	DILB8P-223TLF	609-4717-ND	649DILB8P223TLF			
IC1	1	Attiny85 DIL-Package	Microchip Technology / Atmel	ATtiny85-20PU		556ATTINY8520PU			
D1	1	LED_D3.0mm_FlatTop							
D2	1	D_Zener 3.3V							
D3	1	D_Zener 3.3V							
LS1	1	Buzzer							
SW1	1	Tactile Button							
SW2	1	Push Switch							
J1	1	AUDIO-JACK							
J5	1	USB-micro breakout board 5-pin							
