References	Qty	Description	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
R1	1	22K 1206	Yageo	RC1206FR-0722KL		603RC1206FR0722KL			
R2	1	22K 1206	Yageo	RC1206FR-0722KL		603RC1206FR0722KL			
R3	1	1K 1206	Yageo	RC1206FR-071KL		603RC1206FR071KL			
R4	1	100 1206	Yageo	RC1206FR-07100RL		603RC1206FR07100RL			
R5	1	4.7K 1206	Yageo	RC1206FR-074K7L		603RC1206FR074K7L			
C1	1	10nF 1206	KEMET	C1206C103K5RACTU		80C1206C103K5R			
C2	1	100nF 1206	KEMET	C1206C104K5RACTU		80C1206C104K5R			
LED	1	TOP-led	Kingbright	AA3528SURSK		604AA3528SURSK			
NEO	1	SK6812 LED		SK6812					
IC1	1	Attiny85	Microchip Technology / Atmel	ATtiny85-20SU		556ATTINY8520SU			
B1	1	Button	Grayhill	95C04A3GWRT		70695C04A3GWRT			
Buz	1	Buzzer/speaker	TDK	PS1550L40N		810PS1550L40N			
Jack	1	Mini-Jack female 3.5mm	CUI	SJ-43504-SMT-TR		490SJ43504SMTTR			
Sensor	1	Temperature Sensor	Maxim Integrated	DS18B20+		700DS18B20+			
