References	Qty	Description	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
R1	1	22K 1206	Yageo	RC1206FR-0722KL	311-22.0KFRCT-ND	603RC1206FR0722KL			
R2	1	22K 1206	Yageo	RC1206FR-0722KL	311-22.0KFRCT-ND	603RC1206FR0722KL			
R3	1	1K 1206	Yageo	RC1206FR-071KL	311-1.00KFRCT-ND	603RC1206FR071KL			
R4	1	100 1206	Yageo	RC1206FR-07100RL	311-100FRCT-ND	603RC1206FR07100RL			
R5	1	4.7K 1206	Yageo	RC1206FR-074K7L	311-4.70KFRCT-ND	603RC1206FR074K7L			
C1	1	10nF 1206	KEMET	C1206C103K5RACTU	399-1234-1-ND	80C1206C103K5R			
C2	1	100nF 1206	KEMET	C1206C104K5RACTU	399-1249-2-ND	80C1206C104K5R			
LED	1	TOP-led	Kingbright	AA3528SURSK	754-1537-1-ND	604AA3528SURSK			
NEO	1	SK6812 LED		SK6812	1528-1104-ND				
ICS1	1	8Pin-DIL-Socket	Amphenol FCI	DILB8P-223TLF	609-4717-ND	649DILB8P223TLF			
IC1	1	Attiny85	Microchip Technology / Atmel	ATtiny85-20SU	ATTINY85-20SURCT-ND	556ATTINY8520SU			
B1	1	Button	Grayhill	95C04A3GWRT	GH7643CT-ND	70695C04A3GWRT			
Buz	1	Buzzer/speaker	TDK	PS1550L40N	445-172991-ND	810PS1550L40N			
Jack	1	Mini-Jack female 3.5mm	CUI	SJ1-3525N	CP1-3525N-ND	490SJ13525N			
Sensor	1	Temperature Sensor	Maxim Integrated	DS18B20+	DS18B20-ND	700DS18B20+			
