References	Qty	Description	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
U1	1	Ideal Diode Controller MSOP-8	Linear Tech	LTC4359IMS8			8516843		
C1	1	1206 100V X7R 10% Capacitor	Murata	GRM31CR72A225KA73L			8202863		
R1	1	0.5W 1206 Resistor	Panasonic	ERJP08F3601V			7219866		
Q1	1	N-Channel 60V 100A TDSON8	Infineon	BSC028N06NS			9064296		
D1	1	60V TVS 400W SMA	Taiwan Semi	SMAJ60A			6873368		
D2	1	24V TVS 400W SMA	Taiwan Semi	SMAJ24A			7485161		
Q2	1	N-Channel 60V 100A TDSON8	Infineon	BSC028N06NS			9064296		
D3	1	16V 6% 0.2W Zener Diode SOD-323	ON Semi	MM3Z16VT1G			6878212		
R3	1	0603 Resistor	TE	CRG0603F10R			2132008		
R2	1	0603 Resistor	TE	CRG0603F10K			2132418		
C2	1	0603 100V X7R 10% Capacitor	AVX	06031C103K4Z2A			6983210		
R4	1	0603 Resistor	TE	CRG0603F1M0			2132676		
P1	1	1x3way 2.54mm Header	Harwin	M20-9990345			6812975		
