References	Qty	Description	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
JP1	1	PIN HEADER							
JP5	1	PIN HEADER							
EN, JP36, JP38, VUSB	4	PIN HEADER							
USB	1	PIN HEADER							
JP11	1	PIN HEADER							
JP2, JP3, PWR_1	3	PIN HEADER							
JP6, JP7, PWR_2	3	PIN HEADER							
LEDS, VCC, VCCIO	3	PIN HEADER							
+5V, SERVOS	2	PIN HEADER							
R37	1	RESISTOR, European symbol			311-100KHRCT-ND	603RC0603FR07100KL	566787		9238727
C1, C6, C7, C11, C20, C21	6	CAPACITOR, European symbol			732-7478-1-ND	710885012105001	7882871		2533923
R4, R5, R35, R50, R51, R52	6	RESISTOR, European symbol			311-10KGRCT-ND	603RC0603FR0710KL	2132418		9238603
R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R27, R28, R29, R30, R31, R32, R33, R34	28	RESISTOR, European symbol			311-180HRCT-ND	603RC0603FR07180RL	566412		9238395
C12	1	CAPACITOR, European symbol			399-1082-1-ND	80C0603C102K5R	2644551		1414608
C37	1	POLARIZED CAPACITOR, European symbol			493-6629-1-ND	140REA331M1CBK0811P	7075840		9692045
R1, R2, R3, R26, R36, R38, R40, R42, R44, R46, R48	11	RESISTOR, European symbol			311-470HRCT-ND	603RC0603FR07470RL	566547		9238441
C2, C3, C4, C5	4	CAPACITOR, European symbol			478-1253-1-ND	06034D475KAT2A	6983248		9227784
C8, C9, C10, C67, C70	5	CAPACITOR, European symbol			1276-2970-1-ND	963EMK212B7475KGT	7661037		2320854
R39, R41, R43, R45, R47, R49	6	RESISTOR, European symbol			311-680HRCT-ND	603RC0603FR13680RL			9238468
IC2	1	VOLTAGE REGULATOR			1016-1538-5-ND	701SP7805VL	7695466		9756078
U3	1	This is a new object for the new Arduino R3 - with extra pins that you may want to use (such as IOref, and duplicated A4/A5							
T1, T2	2	BC337			1727-2919-1-ND	771BC81740T/R	2169410		1081224
IC3	1	CP2102N-28	Silicon Labs	CP2102	336-3694-ND	634CP2102NA01GQFN28	5268841		2577279
U1	1	Espressif Systems ESP-WROOM-32	Espressif Systems	ESP32-WROMM-32	1738-1294-ND				
PWR	1	MKDSN 1,5/ 2-5,08 Printklemme			277-5953-ND	6511890963	8045118		2490945
!CTS, !DCD, !DSR, !DTR, !RESET, !RTS, !SUSPEND, CHR0, CHR1, CHREN, IO0/TXLED, IO1/RXLED, IO2/RS485, IO3/WAKEUP, IO4, IO5, IO6, RI/CLK, RXD, SUSPEND, TXD	21	PINH1X01							
B1, B2	2	TACTM-35N-F			CKN1574TR-ND	611PTS635SL43SMTRLF	1359609		2079520
U2	1	UM18533	Texas Instruments	TPS73033DBVT	296-17580-1-ND	595TPS73033DBVR	6201401		1135395
X1	1	USB-MICRO-B-BOTTOM			WM17141CT-ND	538473460001	7025475		1568026
LED0P, LED1P, LED2P, LED3P, LED4P, LED5P, LED_3V3, LED_3V3_USB	8	LED			160-1446-1-ND	859LTSTC191KGKT	8721799		2293494
LED0N, LED1N, LED2N, LED3N, LED4N, LED5N	6	LED			160-1447-1-ND	859LTSTC191KRKT	1278415		2322071
D1, D2, D5	3	skl34							
LED1, LED2, LED3	3	LED			732-4981-1-ND	710150060YS75000	8154219		2322074
