References	Qty	Description	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
AE1	1																
AUDIO1	1		CUI	SJ-43516-SMT-TR									CP-43516SJCT-ND	490SJ43516SMTTR			
B0, B1, B2, B3, B4, B5, B6	7			PTS645SL50SMTR92 LFS									CKN9088CT-ND	611PTS645SL50SMTR92			
BAT1	1		Keystone	3000TR	MPD	BK-885	Harwin	S8201-46R					952-1662-1-ND	855S820146R	1613707		
C1, C3, C4, C5, C7, C8, C9, C11, C12, C15, C21, C54, C55, C58	14			CC0805ZKY5V5BB226									1276-2412-1-ND	963LMK212BBJ226MGT			
C2, C6, C10, C18	4			CS0603KRX7R9BB471									399-9086-1-ND	603CS0603KRX79BB471			
C13, C16, C17, C19, C20, C22, C23, C24, C46, C47	10			CC0805MRX5R6BB225									1276-2903-1-ND	80C0805C225K4R3123			
C14, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C59, C60	13			CC0603KRX7R8BB224									1276-1112-1-ND	603CC603KRX7R6BB224			
C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C48, C49, C50, C51, C52, C53	17			CC0603JRX7R8BB223									1276-2000-1-ND	603AC603KRX7R7BB223			
C56, C57	2			CC0603CRNPO9BN3R3									311-3855-1-ND	710885012006048			
D0, D4, D11, D19	4			LTST-C170KRKT									160-1415-1-ND	859LTSTC170KRKT			
D1, D5	2			LTST-C170KFKT									160-1413-1-ND	859LTSTC170KFKT			
D2, D6	2			LTST-C170TGKT									160-1887-1-ND	859LTSTC170TGKT			
D3, D7	2			LTST-C170TBKT		LTST-C171TBKT		SMLMN2BCTT86C					160-1579-1-ND	859LTSTC171TBKT			
D8	1			STPS2L30AF									497-12310-1-ND	511STPS2L30AF			
D9, D51, D52	3		Yageo	RC0805JR-070RL	ST	STPS2L30AF											
D10, D13, D14, D16, D17, D23, D24, D25, D26, D27, D29	11			1N4148WS									1N4148WSFSCT-ND	863MMDL914T1G			
D12, D15	2		ON semiconductor	NSR0530HT1G	Diodes inc.	BAT54WSQ-7-F							NSR0530HT1GOSCT-ND	755RSX051VYM30FHTR			
D18	1			LTST-C170TGKT									160-1887-1-ND	859LTSTC170TGKT			
D20, D21	2			BZT52C3V6S									BZT52C3V6S-TPMSCT-ND	833BZT52C3V6STP			
D22	1			LTST-C170TBKT		LTST-C171TBKT		SMLMN2BCTT86C					160-1579-1-ND	859LTSTC171TBKT			
D28	1			MMDL914T1G									1N4148WXTPMSCT-ND	863MMDL914T1G			
GPDI1	1			10029449-111RLF		5-1903015-5							A136174CT-ND	64910029449111RLF			
H1, H2, H3, H4	4																
J1, J2	2																
J3	1																
J4	1																
J5	1																
L1, L2, L3	3		Murata	DFE322512F-2R2M=P2	Murata	DFE252012P-2R2M=P2	Bourns	SRP2512A-2R2M	Chilisin Elec	HEI322512A-2R2M-Q8		81-LQH32PB2R2NN0L	490-10649-1-ND	81DFE322512F2R2MP2			
L4	1			CV201210-330K									CV201210-330KCT-ND	652CV201210330K			
OLED1	1			DM-OLEDC095-626													
Q1	1			BC857									TBC857BLMCT-ND	863BC857BLT1G			
Q2	1			2N7002P,215									2N7002K-TPMSCT-ND	757T2N7002AKLM			
R1, R3, R4, R25, R26, R30, RB2	7			AC0603FR-104K7L									YAG3613CT-ND	603AC0603FR074K7L			
R2, RB1	2			RC0603FR-1018KL									311-18.0KHRCT-ND	71CRCW060318K0FKEAC			
R5	1			RC0603FR-132M2L									P2.20MHCT-ND	603AC0603FR072M2L			
R6, R8, R14, R18, R29, R40, R54, R57, R66	9			RC0603FR-071K1L									P1.10KHCT-ND	603RC0603FR071K1L			
R7, R10, R17, R21, R39, R51, R60	7			RC0603FR-07130RL									311-130HRCT-ND	603RC0603FR07130RL			
