References	Qty	Description	Digikey	Mouser	RS	Newark	Farnell
C2, C1	2	CAPAPOL 100uF		667ECA1EM101			
C3, C4	2	C 22pF Unpolarized capacitor		594CN15A220J			
C5	1	C 100nF Unpolarized capacitor		594D103Z25Z5VF63L6R			
D1	1	DIODE 1N4001		8631N4001G			
D2	1	LED		696SLXLX3044HD			
IC1	1	ATMEGA328P-PU PDIP28 Narrow, 16k Flash, 1kB SRAM, 512B EEPROM DIL28		556ATMEGA328PPU			
IC1_SOCKET	1	28P DIP SKT 300 CL LADDER		571121992989			
P2	1	CONN 01X14 Connector, single row, 01x14		855M207821446			
P3	1	CONN 01X04 Connector, single row, 01x04		855M207820446			
P4	1	CONN 01X08 Connector, single row, 01x08		855M207820842			
P1	1	CONN 01X06 FTDI Cable Pins Connector, single row, 01x06		57141462780			
R1	1	R 470 Resistor		603MFR25FBF52470R			
R2	1	R 10K Resistor		603MFR25FBF5210K			
SW1	1	SPST Interrupteur simple		653B3W1002			
U1	1	7805 Linear Regulator +5V		863NCP7805TG			
X1	1	CRYSTAL 16.0000MHZ 18PF T/H		5201602046X			
