References	Qty	Description	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
C1,C2	2		Vishay	VJ0603A220JXACW1BC	399-7874-1-ND	77VJ0603A220JXACBC			
C12,C13,C14,C15	4		Vishay	VJ0603Y472KXACW1BC	720-1387-1-ND	77VJ0603Y472KXACBC			
C10,C11,C32,C4,C5,C7,C8,C9,C34	9		Yageo	CC0603ZRY5V9BB104	311-1343-1-ND	CC0603ZRY5V9BB104			
C3,C33	2		Murata	GRM188R61C105KA93D	490-1536-1-ND	81GRM39R105K16			
C6	1		AVX	F931A106KAA	478-8192-1-ND	647F931A106KAA			
D1,D10,D11,D12,D13,D14,D15,D16,D2,D3,D4,D5,D6,D7,D8,D9	16		Lumex	SSL-LXA228SIC-TR31	67-2243-1-ND	696LLXA228SICTR31			
R1,R2	2		Panasonic	ERJ-3EKF22R0V	P22.0HCT-ND	667ERJ3EKF22R0V			
R3,R5,R7,R9	4		Panasonic	ERJ-3EKF4700V	P470HCT-ND	667ERJ3EKF4700V			
R11,R13,R15,R16,R17,R18,R4,R8	8		Panasonic	ERJ-3EKF1001V	P1.00KHCT-ND	667ERJ3EKF1001V			
R19,R20	2		Panasonic	ERJ-3EKF1002V	P10.0KHCT-ND	667ERJ3EKF1002V			
R10,R12,R14,R6	4		Panasonic	ERJ-3EKF1004V	P1.00MHCT-ND	667ERJ3EKF1004V			
L1	1		Murata	BLM18PG221SN1D	490-5221-1-ND	81BLM18PG221SN1D			
L2,L3	2		TDK	MLZ1608N100L	445-6755-6-ND	810MLZ1608N100L			
U1	1		Atmel	ATMEGA32U4-AU	ATMEGA32U4-AURCT-ND	ATMEGA32U4AUR			
U2,U3	2		NXP	Semiconductors 74LVC1G19GW,125	568-7764-1-ND	771LVC1G19GW125			
U4	1		Microchip	MCP1700T-3302E/TT	MCP1700T3302ETTCT-ND	MCP1700T3302E/TT			
X1	1			TSX-3225 16.0000MF10U-B0	TSX-3225 16.0000MF10Z-B	732322516MF10UB0			
J1	1		FCI	10118192-0001LF	609-4613-1-ND	649101181920001LF			
J2	1		Molex	15-91-3060	WM17449-ND	53815913060			
