References	Qty	Description	Manufacturer	MPN	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
C1-C6	6		Kemet	C0603C104K5RACTU			399-5089-1-ND	80C0603C104K5R	7738601	72J5992	1288255
C7,C8,C9	3		Kemet	C0603C105Z8VACTU			399-3216-1-ND	80C0603C105Z8V	5158479	84K8389	2522398
C10,C11	2		Sprague	293D106X0010A2TE3	Vishay	293D106X96R3A2TE3	718-1118-1-ND	74293D106X0010A2TE3	5483719	75M2895	1754143
I/O	1		TE Connectivity / AMP	5103308-1			A33159-ND	57151033081	7190002	39K0556	1772835
IC1	1		Microchip	PIC24FJ64GA002-I/SS			PIC24FJ64GA002-I/SS-ND	PIC24FJ64GA002I/SS	400750	40M1449	2315916
IC2	1		FTDI	FT232RL-REEL			768-1007-1-ND	FT232RLREEL	406580P	91K9918	1146032
IC3	1		Texas Instruments	CD4066BPWR			296-14123-1-ND	595CD4066BPWR	6622669P	01X2941	2342308
J1	1		Molex	548190589			WM3895CT-ND	64910033526N3212LF	5151995	16M2760	9786473
L1	1		Murata	BLM21PG331SN1D			490-5988-1-ND	81BLM21P331SG	7241545	73M9169	1515663
LED1-LED2,LED2A-LED2,LED3A-LED2,LED4A,LED4A	8		Dialight	598-8110-107F			350-2038-1-ND	6455988110107F	419209	75R0581	1465992
R1,R5	2		Vishay Dale	CRCW06032K00FKEAHP			541-2.00KSCT-ND	71CRCW06032.0KE3	8206815	52K8223	1469764
R2,R3,R4,R6	4		Vishay Dale	CRCW06031K00FKEAHP			541-1.00KSCT-ND	71CRCW06031.0KE3	6789875	52K8015	1738905
RN1,RN2,RN3	3		Panasonic	EXB-38V103JV			Y9103CT-ND	660CN1J4KTTD103J	5225412	50B2282	2060107
VR1,VR2	2		Microchip	MCP1801T-3302I/OT			MCP1801T-3302I/OTCT-ND	MCP1801T3302I/OT	6694939P	08N6444	1578370
VR3	1		Microchip	MCP1801T-5002I/OT			MCP1801T-5002I/OTCT-ND	MCP1801T5002I/OT	6694948P	08N6445	1578371
