References	Qty	Description	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
R1, R3, R4	3	Resistor	Vishay	CCF601K00FKE36		71CCF601KE3			
C1, C2, C3	3	Polarized Capacitor (Radial)	Vishay	MAL203836101E3		594MAL203836101E3			
R2	1	Potentiometer	Bourns	PDA241-SRT02-103A2		652PDA241SRT02103A2			
P+	1	Plug							
P-	1	Plug							
P	1	Header, 2-Pin							
U1	1	Audio Power Amplifier	TI	LM3886TF		926LM3886TF			
LS	1	Loudspeaker							
S	1	Jumper							
R5	1	Resistor	Vishay	CPF222K000FKE14		71CPF222K000FKE14			
